Population Size,Generations,Mutation Rate,Elitism Rate,Crossover Type,Final Distance,Solution Time,Gap to Optimal (%),Best Route
200,500,0.01,0.05,eax,565.0,20.804121017456055,32.00934579439252,"[0, 10, 5, 14, 13, 16, 4, 1, 12, 9, 7, 2, 11, 8, 3, 6, 19, 15, 17, 18]"
200,500,0.05,0.15,eax,565.0,21.08044409751892,32.00934579439252,"[0, 18, 17, 15, 19, 6, 3, 8, 11, 2, 7, 9, 12, 1, 4, 16, 13, 14, 5, 10]"
200,200,0.01,0.05,eax,570.0,8.502346754074097,33.177570093457945,"[0, 18, 17, 13, 16, 4, 1, 12, 9, 7, 2, 11, 8, 3, 6, 19, 15, 14, 5, 10]"
100,500,0.01,0.05,eax,572.0,9.991451025009155,33.64485981308411,"[0, 14, 15, 19, 1, 12, 9, 7, 2, 11, 8, 3, 13, 16, 4, 6, 10, 5, 17, 18]"
200,500,0.05,0.05,eax,580.0,24.39810585975647,35.51401869158878,"[0, 10, 5, 14, 19, 6, 8, 3, 13, 16, 4, 11, 2, 7, 9, 12, 1, 15, 17, 18]"
100,200,0.05,0.15,eax,580.0,3.641603946685791,35.51401869158878,"[0, 14, 15, 19, 1, 12, 9, 7, 2, 13, 3, 8, 11, 4, 16, 6, 10, 5, 17, 18]"
100,500,0.05,0.15,eax,580.0,8.25226902961731,35.51401869158878,"[0, 14, 15, 19, 1, 12, 9, 7, 2, 13, 3, 8, 11, 4, 16, 6, 10, 5, 17, 18]"
200,200,0.01,0.15,eax,582.0,7.216094255447388,35.981308411214954,"[0, 14, 15, 19, 3, 8, 11, 2, 7, 9, 12, 1, 13, 16, 4, 6, 10, 5, 17, 18]"
200,500,0.01,0.15,eax,582.0,19.98758316040039,35.981308411214954,"[0, 14, 15, 19, 3, 8, 11, 2, 7, 9, 12, 1, 13, 16, 4, 6, 10, 5, 17, 18]"
200,200,0.05,0.15,eax,585.0,7.187138319015503,36.68224299065421,"[0, 10, 1, 12, 9, 4, 16, 13, 7, 2, 11, 8, 3, 6, 19, 15, 14, 5, 17, 18]"
200,200,0.05,0.05,eax,590.0,8.258633613586426,37.850467289719624,"[0, 10, 1, 12, 9, 7, 2, 11, 4, 19, 6, 8, 3, 13, 16, 5, 14, 15, 17, 18]"
100,200,0.01,0.05,eax,592.0,4.322026252746582,38.31775700934579,"[0, 1, 12, 9, 7, 2, 11, 8, 3, 13, 16, 14, 15, 19, 4, 6, 10, 5, 17, 18]"
100,200,0.05,0.05,eax,594.0,4.486745595932007,38.78504672897196,"[0, 10, 5, 14, 16, 15, 19, 6, 4, 1, 13, 3, 8, 11, 2, 7, 9, 12, 17, 18]"
100,500,0.05,0.05,eax,594.0,9.898054838180542,38.78504672897196,"[0, 10, 5, 14, 16, 15, 19, 6, 4, 1, 13, 3, 8, 11, 2, 7, 9, 12, 17, 18]"
100,500,0.01,0.15,eax,611.0,8.312533855438232,42.757009345794394,"[0, 14, 15, 19, 4, 16, 13, 3, 6, 8, 7, 2, 11, 9, 12, 1, 10, 5, 17, 18]"
100,200,0.01,0.15,eax,612.0,3.6370065212249756,42.99065420560748,"[0, 14, 5, 10, 1, 12, 9, 11, 2, 7, 8, 6, 3, 13, 16, 4, 19, 15, 17, 18]"
