Population Size,Generations,Mutation Rate,Elitism Rate,Crossover Type,Final Distance,Solution Time,Gap to Optimal (%),Best Route
500,1000,0.1,0.05,erx,565.0611716255313,94.38661265,-6.04E-14,"[9, 20, 0, 4, 33, 44, 13, 6, 22, 23, 47, 29, 21, 39, 1, 34, 11, 25, 42, 40, 24, 37, 7, 27, 31, 17, 5, 8, 45, 28, 35, 26, 16, 41, 49, 32, 15, 10, 2, 18, 14, 19, 30, 48, 43, 38, 46, 36, 12, 3]"
500,500,0.1,0.05,erx,565.0611716255313,46.92583751678467,-6.04E-14,"[9, 20, 0, 4, 33, 44, 13, 6, 22, 23, 47, 29, 21, 39, 1, 34, 11, 25, 42, 40, 24, 37, 7, 27, 31, 17, 5, 8, 45, 28, 35, 26, 16, 41, 49, 32, 15, 10, 2, 18, 14, 19, 30, 48, 43, 38, 46, 36, 12, 3]"
500,500,0.1,0.1,edge,567.6892123947099,40.45314311981201,0.46508960465609006,"[42, 40, 24, 37, 7, 27, 31, 17, 5, 8, 45, 28, 35, 26, 16, 41, 49, 32, 15, 10, 2, 18, 14, 19, 30, 48, 43, 38, 46, 36, 12, 3, 9, 20, 0, 4, 11, 33, 44, 13, 6, 22, 23, 47, 29, 21, 39, 1, 34, 25]"
500,1000,0.1,0.1,edge,567.6892123947099,82.35970759391785,0.46508960465609006,"[42, 40, 24, 37, 7, 27, 31, 17, 5, 8, 45, 28, 35, 26, 16, 41, 49, 32, 15, 10, 2, 18, 14, 19, 30, 48, 43, 38, 46, 36, 12, 3, 9, 20, 0, 4, 11, 33, 44, 13, 6, 22, 23, 47, 29, 21, 39, 1, 34, 25]"
500,1000,0.1,0.1,erx,574.4178192793968,91.51877331733704,1.6558645547965254,"[2, 7, 27, 31, 41, 16, 26, 35, 28, 45, 8, 5, 17, 37, 24, 40, 42, 25, 11, 34, 1, 39, 21, 29, 47, 23, 22, 6, 13, 44, 33, 4, 0, 20, 9, 3, 12, 36, 46, 38, 43, 48, 19, 14, 18, 30, 49, 32, 15, 10]"
500,500,0.1,0.1,erx,574.4178192793968,43.24523854255676,1.6558645547965254,"[2, 7, 27, 31, 41, 16, 26, 35, 28, 45, 8, 5, 17, 37, 24, 40, 42, 25, 11, 34, 1, 39, 21, 29, 47, 23, 22, 6, 13, 44, 33, 4, 0, 20, 9, 3, 12, 36, 46, 38, 43, 48, 19, 14, 18, 30, 49, 32, 15, 10]"
500,500,0.05,0.1,edge,589.0956650029541,41.89812755584717,4.253432121035951,"[37, 24, 40, 42, 25, 34, 21, 39, 1, 11, 4, 33, 44, 13, 6, 22, 23, 47, 29, 5, 17, 8, 45, 28, 35, 26, 16, 41, 31, 27, 7, 2, 10, 15, 32, 49, 30, 18, 14, 19, 48, 43, 38, 12, 36, 3, 9, 20, 0, 46]"
500,1000,0.05,0.1,edge,589.0956650029541,77.94617056846619,4.253432121035951,"[37, 24, 40, 42, 25, 34, 21, 39, 1, 11, 4, 33, 44, 13, 6, 22, 23, 47, 29, 5, 17, 8, 45, 28, 35, 26, 16, 41, 31, 27, 7, 2, 10, 15, 32, 49, 30, 18, 14, 19, 48, 43, 38, 12, 36, 3, 9, 20, 0, 46]"
500,500,0.05,0.05,erx,592.2432483648681,45.703513860702515,4.810466212205101,"[47, 29, 5, 17, 8, 45, 28, 35, 26, 16, 41, 31, 27, 7, 2, 18, 19, 14, 10, 15, 32, 49, 30, 48, 43, 38, 46, 36, 12, 3, 9, 20, 0, 4, 40, 24, 37, 42, 25, 34, 21, 39, 1, 11, 33, 44, 13, 6, 22, 23]"
500,1000,0.05,0.05,erx,592.2432483648681,89.89044976234436,4.810466212205101,"[47, 29, 5, 17, 8, 45, 28, 35, 26, 16, 41, 31, 27, 7, 2, 18, 19, 14, 10, 15, 32, 49, 30, 48, 43, 38, 46, 36, 12, 3, 9, 20, 0, 4, 40, 24, 37, 42, 25, 34, 21, 39, 1, 11, 33, 44, 13, 6, 22, 23]"
